RequestID,RequestType,RequestStatus,RequestData
101,1,1,"{""CompanyName"":""Ebert-Reilly"",""LicenceType"":""Proprietor"",""IsOffice"":true,""OfficeName"":""Legal"",""OfficeServiceNumber"":""726-823-3414"",""RequestDate"":""15/1/2022"",""Activities"":""hQkpujTq8q""}"
102,1,1,"{""CompanyName"":""Deckow-Fisher"",""LicenceType"":""Proprietor"",""IsOffice"":true,""OfficeName"":""Human Resources"",""OfficeServiceNumber"":""303-592-7394"",""RequestDate"":""2/3/2022"",""Activities"":""gmzKPXsBMg""}"
103,1,2,"{""CompanyName"":""Stanton Inc"",""LicenceType"":""Proprietor"",""IsOffice"":true,""OfficeName"":""Services"",""OfficeServiceNumber"":""298-494-8515"",""RequestDate"":""16/11/2021"",""Activities"":""XF935J0fBD""}"
104,1,2,"{""CompanyName"":""Bauch Group"",""LicenceType"":""Commercial"",""IsOffice"":true,""OfficeName"":""Support"",""OfficeServiceNumber"":""287-643-8056"",""RequestDate"":""9/7/2022"",""Activities"":""s5SR2RVgDt""}"
105,1,3,"{""CompanyName"":""Emard Group"",""LicenceType"":""Proprietor"",""IsOffice"":false,""OfficeName"":""Legal"",""OfficeServiceNumber"":""493-535-4288"",""RequestDate"":""1/2/2022"",""Activities"":""SNZ9u7CQ7p""}"
106,1,3,"{""CompanyName"":""Parisian, Kertzmann and Corwin"",""LicenceType"":""Proprietor"",""IsOffice"":true,""OfficeName"":""Marketing"",""OfficeServiceNumber"":""548-933-3825"",""RequestDate"":""22/12/2021"",""Activities"":""KtRhRw86Nw""}"
107,1,2,"{""CompanyName"":""Bahringer-Stark"",""LicenceType"":""Personal"",""IsOffice"":false,""OfficeName"":""Sales"",""OfficeServiceNumber"":""978-301-8316"",""RequestDate"":""6/7/2021"",""Activities"":""opYhxzx017""}"
108,1,2,"{""CompanyName"":""Ullrich-Hand"",""LicenceType"":""Proprietor"",""IsOffice"":true,""OfficeName"":""Human Resources"",""OfficeServiceNumber"":""165-848-4254"",""RequestDate"":""23/1/2022"",""Activities"":""lT26xY9wl0""}"
109,1,2,"{""CompanyName"":""Donnelly-Nader"",""LicenceType"":""Personal"",""IsOffice"":false,""OfficeName"":""Product Management"",""OfficeServiceNumber"":""682-173-2247"",""RequestDate"":""31/1/2022"",""Activities"":""876318DV7z""}"
110,1,3,"{""CompanyName"":""Mertz Inc"",""LicenceType"":""Proprietor"",""IsOffice"":true,""OfficeName"":""Sales"",""OfficeServiceNumber"":""680-731-8270"",""RequestDate"":""22/7/2022"",""Activities"":""08HiCsRI51""}"
111,1,3,"{""CompanyName"":""Robel and Sons"",""LicenceType"":""Personal"",""IsOffice"":false,""OfficeName"":""Marketing"",""OfficeServiceNumber"":""663-485-7395"",""RequestDate"":""29/5/2021"",""Activities"":""n117bI7215""}"
226,2,3,"{""CompanyName"":""Metz, Murazik and Hickle"",""RequesterName"":""Ada Strowlger"",""ApplicantName"":""Kent Twitching"",""UserName"":""ktwitchingq"",""ContactEmail"":""ktwitchingq@unesco.org"",""Permissions"":[""add"",""delete"",""view""]}"
227,2,3,"{""CompanyName"":""Ritchie LLC"",""RequesterName"":""Alaric Purkis"",""ApplicantName"":""Ketty Filler"",""UserName"":""kfillerr"",""ContactEmail"":""kfillerr@seattletimes.com"",""Permissions"":[""delete"",""update"",""add""]}"
228,2,2,"{""CompanyName"":""Rutherford, Grimes and Hickle"",""RequesterName"":""Montgomery Bargh"",""ApplicantName"":""Stacy Parrington"",""UserName"":""sparringtons"",""ContactEmail"":""sparringtons@is.gd"",""Permissions"":[""delete"",""update"",""add""]}"
263,3,2,"{""CompanyName"":""Davis Inc"",""InspectionDate"":""4/6/2023"",""InspectionTime"":""8:45 PM"",""InspectionType"":""update""}"
264,3,2,"{""CompanyName"":""Kihn LLC"",""InspectionDate"":""8/1/2023"",""InspectionTime"":""7:24 PM"",""InspectionType"":""new""}"
284,4,3,"{""CompanyName"":""Reichert, Cummerata and Stiedemann"",""LicenceID"":""4e80c1ce-8060-48ef-a9ba-1af9e8615711"",""Activities"":[""outlet"",""real estate""]}"
285,4,3,"{""CompanyName"":""Zboncak, Kuvalis and Fay"",""LicenceID"":""5979963e-9ba2-4c91-bf3a-25113daac1d6"",""Activities"":[""retail"",""real estate""]}"
595,5,3,"{""CompanyName"":""Senger-Macejkovic"",""LicenceID"":""479c05bd-1b39-4652-ac91-a3768cc12d7f"",""RequestDate"":""19/9/2022""}"
596,5,3,"{""CompanyName"":""Crooks LLC"",""LicenceID"":""18994b5a-6887-4cc9-b23a-c40b2ecf74e4"",""RequestDate"":""15/11/2020""}"
